Language,Ethnologue Code,iso_6393,glottocode,name,level,macroarea,latitude,longitude,id,family_id,parent_id,bookkeeping,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
Ngie,NGJ,ngj,ngie1242,Ngie,language,Africa,5.93852,9.79389,ngie1242,atla1278,ngie1243,FALSE,ngj,NA,NA,0,0,1,CM
Ngizim,NGI,ngi,ngiz1242,Ngizim,language,Africa,12.1051,11.0178,ngiz1242,afro1255,ngiz1243,FALSE,ngi,NA,NA,0,0,0,NG
Ngwe,NWE,nwe,ngwe1238,Ngwe,language,Africa,5.49787,9.9028,ngwe1238,atla1278,bamb1272,FALSE,nwe,NA,NA,0,0,0,CM
Ngwo,NGN,ngn,ngwo1241,Ngwo,language,Africa,6.17739,9.84369,ngwo1241,atla1278,momo1242,FALSE,ngn,NA,NA,0,0,8,CM
Nisenan (Southern Maidu),NSZ,nsz,nise1244,Nisenan,language,North America,38.047,-120.393,nise1244,maid1262,maid1262,FALSE,nsz,NA,NA,0,0,0,US
Nkonya,NKO,nko,nkon1248,Nkonya,language,Africa,7.20316,0.3209,nkon1248,atla1278,nkon1245,FALSE,nko,NA,NA,0,0,0,GH
"Norwegian, Bokmål",NOB,nob,norw1259,Norwegian Bokmål,dialect,Eurasia,61.112,8.886,norw1259,indo1319,norw1258,FALSE,nob,NA,NA,0,0,0,NO
"Norwegian, Nynorsk",NNO,nno,norw1262,Norwegian Nynorsk,dialect,Eurasia,NA,NA,norw1262,indo1319,norw1258,FALSE,nno,NA,NA,0,0,0,NA
Nunggubuyu,NUY,nuy,nung1290,Wubuy,language,Australia,-14.2623,135.753,nung1290,gunw1250,wubu1239,FALSE,nuy,NA,NA,0,0,0,AU
Nyangumarta,NNA,nna,nyan1301,Nyangumarta,language,Australia,-20.6271,121.391,nyan1301,pama1250,marr1265,FALSE,nna,NA,NA,0,0,2,AU
Nzema,NZI,nzi,nzim1238,Nzima,language,Africa,5.1785,-2.81123,nzim1238,atla1278,jwir1243,FALSE,nzi,NA,NA,0,0,1,CI GH
Obulom,OBU,obu,obul1239,Obulom-Ochichi,language,Africa,4.72908,7.11671,obul1239,atla1278,kugb1242,FALSE,obu,NA,NA,0,0,2,NG
Okinawan,RYU,ryu,cent2126,Central Okinawan,language,Eurasia,26.14854,127.7816,cent2126,japo1237,okin1244,FALSE,ryu,NA,NA,0,0,4,JP
Oromo,GAX,gax,bora1271,Borana-Arsi-Guji Oromo,language,Africa,1.05676,37.882,bora1271,afro1255,cent2303,FALSE,gax,NA,NA,0,0,8,ET KE SO
"Oromo, West Central",GAZ,gaz,west2721,West Central Oromo,language,Africa,8.81391,36.7365,west2721,afro1255,nucl1736,FALSE,gaz,NA,NA,0,0,3,ET SD
Oro Win,ORW,orw,orow1243,Oro Win,language,South America,-10.737,-64.0299,orow1243,chap1271,wari1267,FALSE,orw,NA,NA,0,0,0,BR
Pangasinan,PAG,pag,pang1290,Pangasinan,language,Papunesia,15.9377,120.365,pang1290,aust1307,west2550,FALSE,pag,NA,NA,0,0,0,PH
Panjabi,PAN,pan,panj1256,Eastern Panjabi,language,Eurasia,30.0368,75.6702,panj1256,indo1319,east2727,FALSE,pan,NA,NA,0,0,8,BD IN PK
Pashto,PBU,pbu,nort2646,Northern Pashto,language,Eurasia,34,71.33,nort2646,indo1319,nucl1276,FALSE,pbu,NA,NA,0,0,11,AF IN PK
"Pidgin, Nigerian",PCM,pcm,nige1257,Nigerian Pidgin,language,Africa,9.65873,4.21068,nige1257,indo1319,nige1258,FALSE,pcm,NA,NA,0,0,0,NG
Pirahã,MYP,myp,pira1253,Pirahã,language,South America,-6.77713,-61.8167,pira1253,NA,NA,FALSE,myp,NA,NA,0,0,1,BR
Pitjantjatjara,PJT,pjt,pitj1243,Pitjantjatjara,language,Australia,-26.9704,131.357,pitj1243,pama1250,tjar1234,FALSE,pjt,NA,NA,0,0,0,AU
Plautdietsch,PDT,pdt,plau1238,Plautdietsch,language,North America,49.578028,-109.353868,plau1238,indo1319,east2291,FALSE,pdt,NA,NA,0,0,20,CA
Polish,POL,pol,poli1260,Polish,language,Eurasia,51.8439,18.6255,poli1260,indo1319,poli1262,FALSE,pol,NA,NA,0,0,3,BY CZ DE LT PL RU SK UA
"Popoloca, San Felipe Otlaltepec",POW,pow,sanf1264,San Felipe Otlaltepec Popoloca,language,North America,18.3594,-97.7432,sanf1264,otom1299,tepe1282,FALSE,pow,NA,NA,0,0,2,MX
Portuguese,POR,por,port1283,Portuguese,language,Eurasia,39.91,-8.1,port1283,indo1319,braz1247,FALSE,por,NA,NA,0,0,6,AD AR BO BR CO ES FR GF GY PE PT PY SR UY VE
Provençal,PRV,prv,prov1247,Provençal (Retired),language,NA,NA,NA,prov1247,book1242,book1242,TRUE,prv,NA,NA,0,0,0,NA
Pulaar,FUC,fuc,pula1263,Pulaar,language,Africa,13.8694,-13.4482,pula1263,atla1278,fula1264,FALSE,fuc,NA,NA,0,0,2,GM GN GW ML MR SN
Pular,FUF,fuf,pula1262,Pular,language,Africa,12.1826,-12.7338,pula1262,atla1278,fula1264,FALSE,fuf,NA,NA,0,0,3,GN GW ML SL SN
Qʼeqchiʼ,KEK,kek,kekc1242,Kekchí,language,North America,15.3788,-89.2452,kekc1242,maya1287,grea1276,FALSE,kek,NA,NA,0,0,0,BZ GT SV
"Quechua, South Bolivian",QUH,quh,sout2991,South Bolivian Quechua,language,South America,-20.9201,-66.3331,sout2991,quec1387,boli1262,FALSE,quh,NA,NA,0,0,6,AR BO CL
Romanian,RON,ron,roma1327,Romanian,language,Eurasia,46.3913,24.2256,roma1327,indo1319,east2865,FALSE,ron,NA,NA,0,0,9,BG HU MD RO RS UA
Rutul,RUT,rut,rutu1240,Rutul,language,Eurasia,41.6187,47.3244,rutu1240,nakh1245,west2428,FALSE,rut,NA,NA,0,0,3,AZ RU
Sandawe,SAD,sad,sand1273,Sandawe,language,Africa,-5.26918,35.4808,sand1273,NA,NA,FALSE,sad,NA,NA,0,0,0,TZ
Saurashtra,SAZ,saz,saur1248,Saurashtra,language,Eurasia,9.99172,77.9427,saur1248,indo1319,guja1256,FALSE,saz,NA,NA,0,0,2,IN
Schwyzerdütsch,GSW,gsw,swis1247,Central Alemannic,language,Eurasia,47.0516,8.46419,swis1247,indo1319,sout3294,FALSE,gsw,NA,NA,0,0,17,AT CH DE FR IT LI
Sekpele,LIP,lip,sekp1241,Sekpele,language,Africa,7.16751,0.5886,sekp1241,atla1278,likp1239,FALSE,lip,NA,NA,0,0,2,GH
Seneca,SEE,see,sene1264,Seneca,language,North America,42.56,-77.53,sene1264,iroq1247,nort2947,FALSE,see,NA,NA,0,0,0,CA US
Serbian,SRP,srp,serb1264,Serbian Standard,dialect,Eurasia,44.3238,21.9192,serb1264,indo1319,east2821,FALSE,srp,NA,NA,0,0,0,AL BA BG HR HU ME MK RO RS
Serer-Sine,SRR,srr,sere1260,Sereer,language,Africa,13.8941,-16.3916,sere1260,atla1278,peul1234,FALSE,srr,NA,NA,0,0,8,GM SN
Serrano,SER,ser,serr1255,Serrano,language,North America,33.9479,-116.772,serr1255,utoa1244,serr1254,FALSE,ser,NA,NA,0,0,3,US
Setswana,TSN,tsn,tswa1253,Tswana,language,Africa,-24.368,24.7587,tswa1253,atla1278,cent2406,FALSE,tsn,NA,NA,0,0,13,BW NA ZA ZM ZW
Shilluk,SHK,shk,shil1265,Shilluk,language,Africa,9.85472,31.7926,shil1265,nilo1247,nort2814,FALSE,shk,NA,NA,0,0,3,SD SS
Shona,SNA,sna,shon1251,Shona,language,Africa,-17.20849,29.75725,shon1251,atla1278,cent2310,FALSE,sna,NA,NA,0,0,27,BW ZA ZM ZW
Shuswap,SHS,shs,shus1248,Shuswap,language,North America,50.8734,-119.667,shus1248,sali1255,nort2948,FALSE,shs,NA,NA,0,0,2,CA
Sindhi,SND,snd,sind1272,Sindhi,language,Eurasia,26,69,sind1272,indo1319,sind1282,FALSE,snd,NA,NA,0,0,9,IN PK
Sinhalese,SIN,sin,sinh1246,Sinhala,language,Eurasia,8,81,sinh1246,indo1319,sinh1247,FALSE,sin,NA,NA,0,0,1,LK
Sissala,SLD,sld,siss1242,Sissala of Burkina Faso,language,Africa,11.0916,-2.38217,siss1242,atla1278,nort3229,FALSE,sld,NA,NA,0,0,0,BF GH
Siwu,AKP,akp,siwu1238,Siwu,language,Africa,7.23811,0.44362,siwu1238,atla1278,lele1263,FALSE,akp,NA,NA,0,0,2,GH
Slovak,SLK,slk,slov1269,Slovak,language,Eurasia,48.545705,18.78479,slov1269,indo1319,czec1260,FALSE,slk,NA,NA,0,0,0,AT CZ HU PL RS SK UA
Slovenian,SLV,slv,slov1268,Slovenian,language,Eurasia,46.2543,14.7766,slov1268,indo1319,west2804,FALSE,slv,NA,NA,0,0,8,AT HR HU IT SI
Somali,SOM,som,soma1255,Somali,language,Africa,4.778704,45.152856,soma1255,afro1255,east2653,FALSE,som,NA,NA,0,0,5,DJ ET KE SO
Songhay,HMB,hmb,humb1243,Humburi Senni Songhay,language,Africa,15.2948,-1.69301,humb1243,song1307,east2431,FALSE,hmb,NA,NA,0,0,2,BF ML
"Sotho, Southern",SOT,sot,sout2807,Southern Sotho,language,Africa,-28.78,27.89,sout2807,atla1278,seso1234,FALSE,sot,NA,NA,0,0,2,LS ZA
Susu,SUS,sus,susu1250,Susu,language,Africa,10.4046,-13.3628,susu1250,mand1469,susu1249,FALSE,sus,NA,NA,0,0,0,GN GW SL SN
Svan,SVA,sva,svan1243,Svan,language,Eurasia,42.9134,42.5915,svan1243,kart1248,kart1248,FALSE,sva,NA,NA,0,0,4,GE RU
Swahili,SWH,swh,swah1253,Swahili,language,Africa,-8.25605,37.624,swah1253,atla1278,momb1256,FALSE,swh,NA,NA,0,0,13,BI KE MZ RW SO TZ UG
Swedish,SWE,swe,swed1254,Swedish,language,Eurasia,59.800634,17.389526,swed1254,indo1319,east2781,FALSE,swe,NA,NA,0,0,4,AX DK FI NO SE
Tagalog,TGL,tgl,taga1270,Tagalog,language,Papunesia,14.06,121.747,taga1270,aust1307,taga1269,FALSE,tgl,NA,NA,0,0,8,PH
Tahitian,TAH,tah,tahi1242,Tahitian,language,Papunesia,-17.6485,-149.45,tahi1242,aust1307,tahi1244,FALSE,tah,NA,NA,0,0,0,PF
Tamil,TAM,tam,tami1289,Tamil,language,Eurasia,10.520219,78.825989,tami1289,drav1251,tami1300,FALSE,tam,NA,NA,0,0,18,IN LK
Tee,TKQ,tkq,teee1242,Tee,language,Africa,4.73213,7.37553,teee1242,atla1278,taik1252,FALSE,tkq,NA,NA,0,0,0,NG
Telugu,TEL,tel,telu1262,Telugu,language,Eurasia,16.4529,78.7024,telu1262,drav1251,telu1265,FALSE,tel,NA,NA,0,0,18,IN
Thai,THA,tha,thai1261,Thai,language,Eurasia,14.192,100.671,thai1261,taik1256,laot1235,FALSE,tha,NA,NA,0,0,1,KH MM TH
"Thai, Northern",NOD,nod,nort2740,Northern Thai,language,Eurasia,18.857495,100.20739,nort2740,taik1256,sout2744,FALSE,nod,NA,NA,0,0,3,LA MM TH
Themne,TEM,tem,timn1235,Timne,language,Africa,8.90294,-12.3331,timn1235,atla1278,temn1245,FALSE,tem,NA,NA,0,0,11,GN SL
Tibetan,BOD,bod,tibe1272,Tibetan,language,Eurasia,28.3681,90.1872,tibe1272,sino1245,cent2346,FALSE,bod,NA,NA,0,0,16,BT CN IN NP
Tigrigna,TIR,tir,tigr1271,Tigrinya,language,Africa,15.3359,38.9266,tigr1271,afro1255,ethi1244,FALSE,tir,NA,NA,0,0,2,DJ ER ET SD
Titan,TTV,ttv,tita1241,Titan,language,Papunesia,-2.18168,146.888,tita1241,aust1307,koro1314,FALSE,ttv,NA,NA,0,0,0,PG
Tiv,TIV,tiv,tivv1240,Tiv,language,Africa,6.88039,9.26287,tivv1240,atla1278,tivi1234,FALSE,tiv,NA,NA,0,0,11,CM NG
Tiwi,TIW,tiw,tiwi1244,Tiwi,language,Australia,-11.6308,130.949,tiwi1244,NA,NA,FALSE,tiw,NA,NA,0,0,0,AU
Toda,TCX,tcx,toda1252,Toda,language,Eurasia,11.4184,77.0168,toda1252,drav1251,tami1293,FALSE,tcx,NA,NA,0,0,0,IN
Tok Pisin,TPI,tpi,tokp1240,Tok Pisin,language,Papunesia,-9.41971,147.303,tokp1240,indo1319,earl1243,FALSE,tpi,NA,NA,0,0,0,PG
Tongan,TON,ton,tong1325,Tonga (Tonga Islands),language,Papunesia,-21.17,-175.25,tong1325,aust1307,tong1324,FALSE,ton,NA,NA,0,0,0,TO
Tsonga,TSO,tso,tson1249,Tsonga,language,Africa,-23.5754,31.8105,tson1249,atla1278,tson1251,FALSE,tso,NA,NA,0,0,11,MZ SZ ZA ZW
Tsou,TSU,tsu,tsou1248,Tsou,language,Papunesia,23.216,120.787,tsou1248,aust1307,tsou1250,FALSE,tsu,NA,NA,0,0,5,CN TW
Tübatulabal,TUB,tub,tuba1278,Tübatulabal,language,North America,35.327,-117.163,tuba1278,utoa1244,cali1246,FALSE,tub,NA,NA,0,0,0,US
Turkish,TUR,tur,nucl1301,Turkish,language,Eurasia,39.8667,32.8667,nucl1301,turk1311,west2406,FALSE,tur,NA,NA,0,0,11,AL AM AZ BG CY GE GR IQ IR MK SY TR
"Tzotzil, Huixtán",TZU,tzu,tzot1261,"Tzotzil, Huixtán",language,North America,16.64,-92.74,tzot1261,book1242,book1242,TRUE,tzu,NA,NA,0,0,0,MX
Ubykh,UBY,uby,ubyk1235,Ubykh,language,Eurasia,43.67,39.67,ubyk1235,abkh1242,abkh1242,FALSE,uby,NA,NA,0,0,0,TR
Ukrainian,UKR,ukr,ukra1253,Ukrainian,language,Eurasia,49.796,29.945,ukra1253,indo1319,ukra1257,FALSE,ukr,NA,NA,0,0,6,BY HU MD PL RO RU SK UA
Urdu,URD,urd,urdu1245,Urdu,language,Eurasia,25,67,urdu1245,indo1319,hind1270,FALSE,urd,NA,NA,0,0,3,AF BD IN PK
Urhobo,URH,urh,urho1239,Urhobo,language,Africa,5.31155,5.86148,urho1239,atla1278,sout2805,FALSE,urh,NA,NA,0,0,4,NG
Vai,VAI,vai,vaii1241,Vai,language,Africa,7.05085,-11.3262,vaii1241,mand1469,vaik1238,FALSE,vai,NA,NA,0,0,0,LR SL
Venda,VEN,ven,vend1245,Venda,language,Africa,-22.188,29.9523,vend1245,atla1278,nucl1826,FALSE,ven,NA,NA,0,0,7,BW ZA ZW
Vietnamese,VIE,vie,viet1252,Vietnamese,language,Eurasia,20.681188,105.774071,viet1252,aust1305,viet1251,FALSE,vie,NA,NA,0,0,3,CN LA VN
Vlaams,VLS,vls,vlaa1240,Western Flemish,language,Eurasia,51.0754,3.11345,vlaa1240,indo1319,sout3292,FALSE,vls,NA,NA,0,0,7,BE FR NL
Wa,WBM,wbm,nucl1290,Zhenkang Wa,language,Eurasia,23.1024,99.108,nucl1290,aust1305,waaa1245,FALSE,wbm,NA,NA,0,0,6,CN MM
Wahgi,WGI,wgi,nucl1620,Wahgi,language,Papunesia,-6.11629,144.665,nucl1620,nucl1709,wahg1249,FALSE,wgi,NA,NA,0,0,5,PG
Waray-Waray,WAR,war,wara1300,Waray (Philippines),language,Papunesia,11.4911,125.012,wara1300,aust1307,sama1315,FALSE,war,NA,NA,0,0,3,PH
Wari,PAV,pav,wari1268,Wari',language,South America,-10.69948,-64.56152,wari1268,chap1271,wari1267,FALSE,pav,NA,NA,0,0,0,BR
Warlpiri,WBP,wbp,warl1254,Warlpiri,language,Australia,-20.1008,131.05,warl1254,pama1250,ngar1289,FALSE,wbp,NA,NA,0,0,7,AU
Welsh,CYM,cym,wels1247,Welsh,language,Eurasia,52,-4,wels1247,indo1319,oldm1247,FALSE,cym,NA,NA,0,0,3,AR GB
Wikmungkan,WIM,wim,wikm1247,Wik-Mungkan,language,Australia,-13.98051,141.81611,wikm1247,pama1250,mung1277,FALSE,wim,NA,NA,0,0,0,AU
Wolof,WOL,wol,nucl1347,Wolof,language,Africa,15.2534,-15.383,nucl1347,atla1278,wolo1247,FALSE,wol,NA,NA,0,0,8,GM GW ML MR SN
Xhosa,XHO,xho,xhos1239,Xhosa,language,Africa,-31.0389,28.0769,xhos1239,atla1278,ngun1267,FALSE,xho,NA,NA,0,0,13,BW LS ZA
!Xóõ,NMN,nmn,huaa1248,East Taa,language,Africa,-24.20022,20.79583,huaa1248,tuuu1241,taaa1242,FALSE,nmn,NA,NA,0,0,0,BW NA
!Xũ,KTZ,ktz,juho1239,South-Eastern Ju,language,Africa,-19.688,20.7673,juho1239,kxaa1236,juku1256,FALSE,ktz,NA,NA,0,0,3,BW NA
Yakima,YAK,yak,yaki1237,Northwest Sahaptin,language,North America,46.2655,-120.756,yaki1237,saha1239,nort1527,FALSE,yak,NA,NA,0,0,2,US
Yanyuwa (Yanula),JAO,jao,yany1243,Yanyuwa,language,Australia,-15.7621,136.055,yany1243,pama1250,ngar1290,FALSE,jao,NA,NA,0,0,0,AU
Yeyi,YEY,yey,yeyi1239,Yeyi,language,Africa,-18.9178,23.6088,yeyi1239,atla1278,cent2260,FALSE,yey,NA,NA,0,0,2,BW NA
Yi,III,iii,sich1238,Sichuan Yi,language,Eurasia,28.1947,102.121,sich1238,sino1245,nasu1236,FALSE,iii,NA,NA,0,0,5,CN
Yiddish,YDD,ydd,east2295,Eastern Yiddish,language,Eurasia,51.75,19.42,east2295,indo1319,schl1237,FALSE,ydd,NA,NA,0,0,12,AR AU BE BY CA CR EE HU IL LT LV MD PA PL PR RO RU SE UA US UY ZA
Yindjibarndi,YIJ,yij,yind1247,Yindjibarndi,language,Australia,-21.5379,117.001,yind1247,pama1250,yind1249,FALSE,yij,NA,NA,0,0,0,AU
Yoruba,YOR,yor,yoru1245,Yoruba,language,Africa,7.15345,3.67225,yoru1245,atla1278,lucu1239,FALSE,yor,NA,NA,0,0,20,BJ NG
"Zapotec, Tlacolulita",ZPK,zpk,tlac1240,Tlacolulita Zapotec,language,North America,16.2971,-95.7414,tlac1240,otom1299,amat1239,FALSE,zpk,NA,NA,0,0,0,MX
Zulu,ZUL,zul,zulu1248,Zulu,language,Africa,-28.9,30.2,zulu1248,atla1278,ngun1267,FALSE,zul,NA,NA,0,0,5,BW LS MZ SZ ZA
