Language,Ethnologue Code
Abaza,ABQ
Abkhaz,ABK
Aceh,ACE
Adyghe,ADY
Afrikaans,AFR
Aghul,AGX
Akan,AKA
"Aleut, Eastern",ALE
"Aleut, Western",ALE
Amharic,AMH
Angami,NJM
"Apache, Western",APW
"Arabic, Egyptian",ARZ
"Arabic, Mesopotamian Spoken",ACM
"Arabic, Najdi Spoken",ARS
"Arabic, North Levantine Spoken",APC
"Arabic, South Levantine Spoken",AJP
"Arabic, Tunisian Spoken",AEB
Archi,AQC
Armenian,HYE
"Arrernte, Eastern",AER
Assamese,ASM
Avatime,AVN
Awutu,AFU
"Azerbaijani, South",AZB
Baatonum,BBA
Badaga,BFQ
Bafut,BFD
Bamanankan,BAM
Banawa,BNH
Basque,EUS
Bassa,BSQ
Bella Coola,BLC
Bemba,BEM
Bengali,BEN
Berber (Tamazight),TZM
"Bicolano, Albay",BHK
"Bicolano, Central",BCL
Berom,BOM
Bruu,BRV
Bukiyip (Mountain Arapesh),APE
Bulgarian,BUL
Bura-Pabir,BWR
Burarra,BVR
Burmese,MYA
Buryat,BXM
Cacua,CBV
Cama,EBR
Catalan,CAT
Cebuano,CEB
Chamalal,CJI
Chamorro,CHA
Chechen,CHE
Cherepon,CPN
Chickasaw,CIC
"Chinantec, Ozumacín",CHZ
"Chinantec, Palantla",CPA
"Chinese, Cantonese",YUE
"Chinese, Hakka",HAK
"Chinese, Mandarin",CMN
"Chinese, Min Nan",NAN
"Chinese, Wu",WUU
Chong,COG
Columbia-Wenatchi,COL
Comanche,COM
Croatian,HRV
Crow,CRO
Cuyonon,CYO
Czech,CES
Dagbani,DAG
Dahalo,DAL
"Danghu, Wangurri",DHG
Danish,DAN
Defaka,AFN
Degema,DEG
Diriku (Rugciriku),DIU
Dutch,NLD
Ebira,IGB
Edo,BIN
Efik,EFI
Emai-luleha-Ora,EMA
English,ENG
Estonian,EST
Ewe,EWE
"Farsi, Eastern",PRS
"Farsi, Western",PES
Finnish,FIN
French,FRA
"Fulfulde, Adamawa",FUB
"Fulfulde, Maasina",FFM
"Fulfulde, Nigerian dialect",FUV
"Fulfulde, Western Niger",FUH
Gã,GAA
"Gaelic, Irish",GLE
"Gaelic, Scottish",GLA
Ganda,LUG
Georgian,KAT
"German, Standard",DEU
Gikuyu,KIK
Gimi,GIM
Greek,ELL
"Gua, Anum",GWX
"Guarani, Paraguayan",GUG
Guguyimidjir,KKY
Gujarati,GUJ
Gumatj,GNN
Gunwinggu (Kunwinjku),GUP
Gurdjar (Kurtjar),GDJ
Hadza,HTS
Hani,HNI
Haiǁom,HGM
Hausa,HAU
Hawaiian,HAW
Hebrew,HEB
Hiligaynon,HIL
Hindi,HIN
Hmong Daw,MWW
Hmong Njua,BLU
Hungarian,HUN
ǂHua,HUC
Ibibio,IBB
Icelandic,ISL
Idoma,IDU
Igbo,IBO
Ikwere,IKW
Ilocano,ILO
Iraqw,IRK
Isekiri,ITS
Isoko,ISO
Itelmen,ITL
Izon,IJC
Javanese,JAV
Jingpho,KAC
Jola-Fonyi,DYO
Juǀ'hoan (Zhu'oasi),KTZ
Kabardian,KBD
Kabuverdianu (Cape Verde Creole),KEA
Kaititj,GBB
Kalabari,IJN
Kala Lagaw Ya,MWP
Kamba,KAM
Kambari (Tsishingini),TSW
Kanite,KMU
Kannada,KAN
Kapampangan,PAM
Karakalpak,KAA
Kelabit,KZI
Kele,SBC
Khana,OGO
Khmer (Cambodian),KHM
Kirike,OKR
Kirundi (Rundi),RUN
Kissi,KQS
Klao,KLU
Kom,BKM
Konkani,KNN
Kono,KNO
Koonzime,OZM
"Korean, Cheju",KOR
"Korean, Seoul",KOR
Krache,KYE
Krio,KRI
Kurdish,CKB
Kutep,KUB
Kwangali,KWN
Kwanyama,KUA
Ladino,LAD
Lakota,LKT
Larteh,LAR
Latvian,LAV
Lendu,LED
Limba,LIA
Lithuanian,LIT
Logba,LGQ
Luo (Dholuo),LUO
Mabaan,MFZ
Macedonian,MKD
Makassarese,MAK
"Malay, Pattani",MFA
Malayalam,MAL
Maltese,MLT
Marathi,MAR
"Marghi, Central",MRT
"Mazatec, Jalapa de Diaz",MAJ
Mbukushu,MHW
Melpa,MED
Mende,MEN
Meriam,ULK
Mingrelian,XMF
"Mixtec, Coatzospan",MIZ
"Mixtec, Diuxi-Tilantongo",XTD
Mizo,LUS
Mon,MNW
Mono (Numic) Eastern,MNR
Montana Salish,FLA
Mori Atas,MZQ
Moru,MGD
Mpi,MPZ
Murrinh-Patha,MWF
"Naga, Angami",NJM
"Nahuatl, Isthmus-Mecayapan",NHX
Nama,NAQ
Nangikurrunggurr,NAM
Navajo,NAV
Ndonga,NDO
Nepali,NEP
Newari,NEW
Ngie,NGJ
Ngizim,NGI
Ngwe,NWE
Ngwo,NGN
Nisenan (Southern Maidu),NSZ
Nkonya,NKO
"Norwegian, Bokmål",NOB
"Norwegian, Nynorsk",NNO
Nunggubuyu,NUY
Nyangumarta,NNA
Nzema,NZI
Obulom,OBU
Okinawan,RYU
Oromo,GAX
"Oromo, West Central",GAZ
Oro Win,ORW
Pangasinan,PAG
Panjabi,PAN
Pashto,PBU
"Pidgin, Nigerian",PCM
Pirahã,MYP
Pitjantjatjara,PJT
Plautdietsch,PDT
Polish,POL
"Popoloca, San Felipe Otlaltepec",POW
Portuguese,POR
Provençal,PRV
Pulaar,FUC
Pular,FUF
Qʼeqchiʼ,KEK
"Quechua, South Bolivian",QUH
Romanian,RON
Rutul,RUT
Sandawe,SAD
Saurashtra,SAZ
Schwyzerdütsch,GSW
Sekpele,LIP
Seneca,SEE
Serbian,SRP
Serer-Sine,SRR
Serrano,SER
Setswana,TSN
Shilluk,SHK
Shona,SNA
Shuswap,SHS
Sindhi,SND
Sinhalese,SIN
Sissala,SLD
Siwu,AKP
Slovak,SLK
Slovenian,SLV
Somali,SOM
Songhay,HMB
"Sotho, Southern",SOT
Susu,SUS
Svan,SVA
Swahili,SWH
Swedish,SWE
Tagalog,TGL
Tahitian,TAH
Tamil,TAM
Tee,TKQ
Telugu,TEL
Thai,THA
"Thai, Northern",NOD
Themne,TEM
Tibetan,BOD
Tigrigna,TIR
Titan,TTV
Tiv,TIV
Tiwi,TIW
Toda,TCX
Tok Pisin,TPI
Tongan,TON
Tsonga,TSO
Tsou,TSU
Tübatulabal,TUB
Turkish,TUR
"Tzotzil, Huixtán",TZU
Ubykh,UBY
Ukrainian,UKR
Urdu,URD
Urhobo,URH
Vai,VAI
Venda,VEN
Vietnamese,VIE
Vlaams,VLS
Wa,WBM
Wahgi,WGI
Waray-Waray,WAR
Wari,PAV
Warlpiri,WBP
Welsh,CYM
Wikmungkan,WIM
Wolof,WOL
Xhosa,XHO
!Xóõ,NMN
!Xũ,KTZ
Yakima,YAK
Yanyuwa (Yanula),JAO
Yeyi,YEY
Yi,III
Yiddish,YDD
Yindjibarndi,YIJ
Yoruba,YOR
"Zapotec, Tlacolulita",ZPK
Zulu,ZUL